spent-media,temp(G),species,od,time point,,
S18,12,S18(S18),-0.003133333,0,,
S18,12,S18(S18),0.0062,17,,
S18,12,S18(S18),0.002333333,23,,
S18,12,S18(S18),0.0104,29,,
S18,12,S18(S18),0.0353,41,,
S18,12,S18(S18),0.043666667,47,,
S18,12,S18(S18),0.070833333,53,,
S18,12,S18(S18),0.118966667,65,,
S18,12,S18(S18),0.126133333,71,,
S18,12,S18(S18),0.1293,77,,
S18,12,S18(S18),0.1643,89,,
S18,12,S18(S18),0.167633333,95,,
S18,12,S18(S18),0.17762,101,,
S18,12,S18(S18),0.2188,113,,
S18,12,S18(S18),0.194966667,119,,
S18,12,S18(S18),0.189866667,125,,
S18,15,S18(S18),0.008166667,0,,
S18,15,S18(S18),0.021333333,16,,
S18,15,S18(S18),0.034,22,,
S18,15,S18(S18),0.058333333,28,,
S18,15,S18(S18),0.114666667,40,,
S18,15,S18(S18),0.114333333,46,,
S18,15,S18(S18),0.119166667,52,,
S18,15,S18(S18),0.151833333,64,,
S18,15,S18(S18),0.1365,70,,
S18,15,S18(S18),0.1665,76,,
S18,15,S18(S18),0.174166667,88,,
S18,15,S18(S18),0.165666667,94,,
S18,15,S18(S18),0.175,112,,
S18,15,S18(S18),0.160166667,118,,
S18,15,S18(S18),0.148833333,124,,
S18,18,S18(S18),0.0032,0,,
S18,18,S18(S18),0.0312,15,,
S18,18,S18(S18),0.061,21,,
S18,18,S18(S18),0.0872,27,,
S18,18,S18(S18),0.1276,39,,
S18,18,S18(S18),0.1426,45,,
S18,18,S18(S18),0.1492,51,,
S18,18,S18(S18),0.202,63,,
S18,18,S18(S18),0.2116,69,,
S18,18,S18(S18),0.205,75,,
S18,18,S18(S18),0.2148,87,,
S18,18,S18(S18),0.2142,93,,
S18,18,S18(S18),0.2296,111,,
S18,18,S18(S18),0.2226,117,,
S18,18,S18(S18),0.21085,123,,
S18,21,S18(S18),0.002833333,0,,
S18,21,S18(S18),0.036833333,15,,
S18,21,S18(S18),0.056166667,21,,
S18,21,S18(S18),0.0845,27,,
S18,21,S18(S18),0.1215,39,,
S18,21,S18(S18),0.138333333,45,,
S18,21,S18(S18),0.139833333,51,,
S18,21,S18(S18),0.172333333,63,,
S18,21,S18(S18),0.169333333,69,,
S18,21,S18(S18),0.166666667,75,,
S18,21,S18(S18),0.1875,87,,
S18,21,S18(S18),0.182333333,93,,
S18,21,S18(S18),0.1935,111,,
S18,21,S18(S18),0.178166667,117,,
S18,21,S18(S18),0.167166667,123,,
S18,25,S18(S18),0.011833333,0,,
S18,25,S18(S18),0.06575,14,,
S18,25,S18(S18),0.10375,20,,
S18,25,S18(S18),0.105083333,26,,
S18,25,S18(S18),0.180583333,38,,
S18,25,S18(S18),0.19,44,,
S18,25,S18(S18),0.203583333,50,,
S18,25,S18(S18),0.203833333,62,,
S18,25,S18(S18),0.199416667,68,,
S18,25,S18(S18),0.176833333,74,,
S18,25,S18(S18),0.208333333,86,,
S18,25,S18(S18),0.202083333,92,,
S18,25,S18(S18),0.216583333,110,,
S18,25,S18(S18),0.16625,116,,
S18,25,S18(S18),0.17425,122,,
S18,28,S18(S18),0.002833333,0,,
S18,28,S18(S18),0.037833333,13,,
S18,28,S18(S18),0.069333333,19,,
S18,28,S18(S18),0.114666667,25,,
S18,28,S18(S18),0.1675,37,,
S18,28,S18(S18),0.178666667,43,,
S18,28,S18(S18),0.182166667,49,,
S18,28,S18(S18),0.199833333,61,,
S18,28,S18(S18),0.209833333,67,,
S18,28,S18(S18),0.212333333,73,,
S18,28,S18(S18),0.228833333,85,,
S18,28,S18(S18),0.2415,91,,
S18,28,S18(S18),0.24,109,,
S18,28,S18(S18),0.168333333,115,,
S18,28,S18(S18),0.1925,121,,
S18,12,S56(S18),0.005,0,,
S18,12,S56(S18),0.0308,17,,
S18,12,S56(S18),0.04975,23,,
S18,12,S56(S18),0.0819,29,,
S18,12,S56(S18),0.14755,41,,
S18,12,S56(S18),0.135,47,,
S18,12,S56(S18),0.16275,53,,
S18,12,S56(S18),0.1963,65,,
S18,12,S56(S18),0.2183,71,,
S18,12,S56(S18),0.22705,77,,
S18,12,S56(S18),0.24855,89,,
S18,12,S56(S18),0.23105,95,,
S18,12,S56(S18),0.24132,101,,
S18,12,S56(S18),0.253633333,113,,
S18,12,S56(S18),0.241966667,119,,
S18,12,S56(S18),0.238033333,125,,
S18,15,S56(S18),0.0123,0,,
S18,15,S56(S18),0.048583333,16,,
S18,15,S56(S18),0.072083333,22,,
S18,15,S56(S18),0.096916667,28,,
S18,15,S56(S18),0.135333333,40,,
S18,15,S56(S18),0.139166667,46,,
S18,15,S56(S18),0.150916667,52,,
S18,15,S56(S18),0.187666667,64,,
S18,15,S56(S18),0.169916667,70,,
S18,15,S56(S18),0.178,76,,
S18,15,S56(S18),0.176583333,88,,
S18,15,S56(S18),0.17525,94,,
S18,15,S56(S18),0.19175,112,,
S18,15,S56(S18),0.175,118,,
S18,15,S56(S18),0.196916667,124,,
S18,18,S56(S18),0.0034,0,,
S18,18,S56(S18),0.0362,15,,
S18,18,S56(S18),0.0678,21,,
S18,18,S56(S18),0.1124,27,,
S18,18,S56(S18),0.1994,39,,
S18,18,S56(S18),0.2338,45,,
S18,18,S56(S18),0.2302,51,,
S18,18,S56(S18),0.2304,63,,
S18,18,S56(S18),0.2224,69,,
S18,18,S56(S18),0.2154,75,,
S18,18,S56(S18),0.2374,87,,
S18,18,S56(S18),0.2336,93,,
S18,18,S56(S18),0.2466,111,,
S18,18,S56(S18),0.2392,117,,
S18,18,S56(S18),0.2356,123,,
S18,21,S56(S18),0.000916667,0,,
S18,21,S56(S18),0.0325,15,,
S18,21,S56(S18),0.05575,21,,
S18,21,S56(S18),0.114666667,27,,
S18,21,S56(S18),0.18,39,,
S18,21,S56(S18),0.20225,45,,
S18,21,S56(S18),0.17375,51,,
S18,21,S56(S18),0.174666667,63,,
S18,21,S56(S18),0.173583333,69,,
S18,21,S56(S18),0.178166667,75,,
S18,21,S56(S18),0.19125,87,,
S18,21,S56(S18),0.189083333,93,,
S18,21,S56(S18),0.189083333,111,,
S18,21,S56(S18),0.181666667,117,,
S18,21,S56(S18),0.184666667,123,,
S18,25,S56(S18),0.006833333,0,,
S18,25,S56(S18),0.004,14,,
S18,25,S56(S18),0.006666667,20,,
S18,25,S56(S18),0.01,26,,
S18,25,S56(S18),0.006333333,38,,
S18,25,S56(S18),0.005333333,44,,
S18,25,S56(S18),0.004333333,50,,
S18,25,S56(S18),0.006166667,62,,
S18,25,S56(S18),0.007666667,68,,
S18,25,S56(S18),0.008166667,74,,
S18,25,S56(S18),0.0065,86,,
S18,25,S56(S18),0.007,92,,
S18,25,S56(S18),0.007,110,,
S18,25,S56(S18),0.005833333,116,,
S18,25,S56(S18),0.0055,122,,
S18,28,S56(S18),-0.0011,0,,
S18,28,S56(S18),0.060633333,13,,
S18,28,S56(S18),0.0992,19,,
S18,28,S56(S18),0.1305,25,,
