Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
fresh,12,S18,0.121861232,0.192884578,15.20860001,15.20860001,1,0 
fresh,15,S18,0.117246618,0.191752256,16.85966666,16.85966666,1,0 
fresh,18,S18,0.175404753,0.240882507,23.41081333,23.41081333,1,0 
fresh,21,S18,0.496136184,0.210218758,21.81786666,21.81786666,1,0 
fresh,25,S18,0.155698538,0.225571732,23.3699,23.3699,1,0 
fresh,28,S18,0.240885963,0.250359482,26.6884,26.6884,1,0 
fresh,12,S56,0.09992744,0.20713529,16.0574,16.0574,1,0 
fresh,15,S56,0.130827064,0.214413844,19.30353333,19.30353333,1,0 
fresh,18,S56,0.194248203,0.259562681,25.66334667,25.66334667,1,0 
fresh,21,S56,0.295963486,0.219365289,22.62203333,22.62203333,1,0 
fresh,25,S56,0.200373597,0.241504368,25.96493335,25.96493335,1,0 
fresh,28,S56,0.243173182,0.283157589,29.9808,29.9808,1,0 
fresh,12,BB19_16,0.123995813,0.28059852,26.92722667,26.92722667,1,0 
fresh,15,BB19_16,0.160155454,0.27861806,28.36453333,28.36453333,1,0 
fresh,18,BB19_16,0.216505594,0.252891624,26.72568,26.72568,1,0 
fresh,21,BB19_16,0.25804306,0.240217691,25.99873333,25.99873333,1,0 
fresh,25,BB19_16,0.46023126,0.277878738,30.68213334,30.68213334,1,0 
fresh,28,BB19_16,0.271795526,0.243580242,26.71133333,26.71133333,1,0 
fresh,12,WYC41_02,0.421443593,0.164513935,17.44893333,17.44893333,1,0 
fresh,15,WYC41_02,0.711277888,0.158411231,17.09456666,17.09456666,1,0 
fresh,18,WYC41_02,3.066975959,0.213567778,23.02688,23.02688,1,0 
fresh,21,WYC41_02,0.226122703,0.234554961,25.14486667,25.14486667,1,0 
fresh,25,WYC41_02,0.92375989,0.253971416,28.2622,28.2622,1,0 
fresh,28,WYC41_02,0.638556721,0.225502069,24.62386667,24.62386667,1,0 
fresh,12,WYM25_02,0.739492131,0.173689089,17.8912,17.8912,1,0 
fresh,15,WYM25_02,0.359269365,0.163408431,17.62583333,17.62583333,1,0 
fresh,18,WYM25_02,0.161352805,0.225062329,23.33681334,23.33681334,1,0 
fresh,21,WYM25_02,0.196917475,0.228499415,24.45086667,24.45086667,1,0 
fresh,25,WYM25_02,0.120137718,0.280820761,29.46093334,29.46093334,1,0 
fresh,28,WYM25_02,0.255369885,0.252494771,27.74326666,27.74326666,1,0 
fresh,12,WYM25_03,0.274551982,0.175309021,17.68059999,17.68059999,1,0 
fresh,15,WYM25_03,0.304553267,0.161040205,17.14933335,17.14933335,1,0 
fresh,18,WYM25_03,0.33464638,0.203232661,21.66688,21.66688,1,0 
fresh,21,WYM25_03,0.268210819,0.21648941,23.2406,23.2406,1,0 
fresh,25,WYM25_03,0.783522425,0.236914388,26.28133334,26.28133334,1,0 
fresh,28,WYM25_03,0.620187715,0.216118857,23.70446665,23.70446665,1,0 
fresh,12,BB13_09,0.067794395,0.219473654,17.3386,17.3386,1,0 
fresh,15,BB13_09,0.094534487,0.231742961,20.42733334,20.42733334,1,0 
fresh,18,BB13_09,0.146018269,0.257413849,23.93607999,23.93607999,1,0 
fresh,21,BB13_09,0.155099314,0.233809396,22.58153333,22.58153333,1,0 
fresh,25,BB13_09,0.117574736,0.262180736,25.85166668,25.85166668,1,0 
fresh,28,BB13_09,0.049775507,0.125474844,11.78426666,11.78426666,1,0 
fresh,12,SP03_02,0.15428697,0.217283431,21.59753335,21.59753335,1,0 
fresh,15,SP03_02,0.189178431,0.203672412,20.90153334,20.90153334,1,0 
fresh,18,SP03_02,0.261617771,0.210031303,22.21541333,22.21541333,1,0 
fresh,21,SP03_02,0.428847073,0.212416753,23.21233333,23.21233333,1,0 
fresh,25,SP03_02,0.694525416,0.236120175,26.115,26.115,1,0 
fresh,28,SP03_02,0.427993864,0.237437454,26.18466666,26.18466666,1,0 
fresh,12,SP03_19,0.118002429,0.174722007,15.50099999,15.50099999,1,0 
fresh,15,SP03_19,0.175237873,0.183844764,17.92573332,17.92573332,1,0 
fresh,18,SP03_19,0.220572997,0.202182834,20.30084667,20.30084667,1,0 
fresh,21,SP03_19,0.176863682,0.21207153,21.91980001,21.91980001,1,0 
fresh,25,SP03_19,0.776984862,0.173796073,19.4858,19.4858,1,0 
fresh,28,SP03_19,0.52533694,0.188100035,20.84536667,20.84536667,1,0 
S18,12,S18,0.067291982,0.199848183,12.15234667,15.20860001,0.7990444,-0.0974 
S18,15,S18,0.084983486,0.163239105,14.56650001,16.85966666,0.863985054,-0.0635 
S18,18,S18,0.072969276,0.220873682,19.00875,23.41081333,0.811964528,-0.0905 
S18,21,S18,0.081596283,0.179927148,16.52249999,21.81786666,0.757292188,-0.1207 
S18,25,S18,0.119947326,0.19581726,19.94783331,23.3699,0.853569477,-0.0688 
S18,28,S18,0.108195388,0.211262782,20.43833332,26.6884,0.765813362,-0.1159 
S18,12,S56,0.068571737,0.245050926,20.39868,16.0574,1.270360083,0.1039 
S18,15,S56,0.077541484,0.183585777,17.29331667,19.30353333,0.895862761,-0.0478 
S18,18,S56,0.154847561,0.234026333,22.4808,25.66334667,0.875988634,-0.0575 
S18,21,S56,0.207814823,0.184377725,18.232125,22.62203333,0.805945457,-0.0937 
S18,25,S56,2.804207304,0.006464286,0.798833331,25.96493335,0.030765853,-1.5119 
S18,28,S56,0.074331663,0.245056557,23.02706666,29.9808,0.768060447,-0.1146 
S18,12,BB19_16,0.07108202,0.292741737,27.47442332,26.92722667,1.020321315,0.0087 
S18,15,BB19_16,0.116266312,0.249419683,25.4825,28.36453333,0.898393064,-0.0465 
S18,18,BB19_16,0.193900881,0.198520689,21.43727499,26.72568,0.802122715,-0.0958 
S18,21,BB19_16,0.199863537,0.195380714,20.85999999,25.99873333,0.802346781,-0.0956 
S18,25,BB19_16,0.223272127,0.17835336,18.93233334,30.68213334,0.617047489,-0.2097 
S18,28,BB19_16,0.149197088,0.115910109,12.84633333,26.71133333,0.480931939,-0.3179 
S18,12,WYC41_02,0.168195269,0.220862983,23.938475,17.44893333,1.37191624,0.1373 
S18,15,WYC41_02,0.250880885,0.202105363,23.06336667,17.09456666,1.349163575,0.1301 
