spent-media,temp(SM),temp(G),species,OD,time point
BB13_09,28,12(28),S18(BB13_09),0.016666667,0
BB13_09,28,12(28),S18(BB13_09),0.0165,18
BB13_09,28,12(28),S18(BB13_09),0.016333333,24
BB13_09,28,12(28),S18(BB13_09),0.015,30
BB13_09,28,12(28),S18(BB13_09),0.0125,42
BB13_09,28,12(28),S18(BB13_09),0.013666667,48
BB13_09,28,12(28),S18(BB13_09),0.011,54
BB13_09,28,12(28),S18(BB13_09),0.010166667,72
BB13_09,28,12(28),S18(BB13_09),0.011166667,78
BB13_09,28,12(28),S18(BB13_09),0.010833333,90
BB13_09,28,12(28),S18(BB13_09),0.009333333,96
BB13_09,28,12(28),S18(BB13_09),0.0105,102
BB13_09,28,12(28),S18(BB13_09),0.01,114
BB13_09,28,12(28),S18(BB13_09),0.010333333,120
BB13_09,21,12(21),S18(BB13_09),0.010333333,0
BB13_09,21,12(21),S18(BB13_09),0.008666667,13
BB13_09,21,12(21),S18(BB13_09),0.009,19
BB13_09,21,12(21),S18(BB13_09),0.011,25
BB13_09,21,12(21),S18(BB13_09),0.0115,38
BB13_09,21,12(21),S18(BB13_09),0.010833333,43
BB13_09,21,12(21),S18(BB13_09),0.009,49
BB13_09,21,12(21),S18(BB13_09),0.0085,62
BB13_09,21,12(21),S18(BB13_09),0.008666667,67
BB13_09,21,12(21),S18(BB13_09),0.007166667,73
BB13_09,21,12(21),S18(BB13_09),0.006666667,86
BB13_09,21,12(21),S18(BB13_09),0.004833333,92
BB13_09,21,12(21),S18(BB13_09),0.005333333,98
BB13_09,21,12(21),S18(BB13_09),0.0035,110
BB13_09,21,12(21),S18(BB13_09),0.002166667,116
BB13_09,25,15(25),S18(BB13_09),0.013,0
BB13_09,25,15(25),S18(BB13_09),0.019666667,6
BB13_09,25,15(25),S18(BB13_09),0.010333333,24
BB13_09,25,15(25),S18(BB13_09),0.012666667,30
BB13_09,25,15(25),S18(BB13_09),0.010833333,43
BB13_09,25,15(25),S18(BB13_09),0.0095,48
BB13_09,25,15(25),S18(BB13_09),0.0105,54
BB13_09,25,15(25),S18(BB13_09),0.008833333,67
BB13_09,25,15(25),S18(BB13_09),0.009166667,72
BB13_09,25,15(25),S18(BB13_09),0.008666667,78
BB13_09,25,15(25),S18(BB13_09),0.008833333,91
BB13_09,25,15(25),S18(BB13_09),0.0075,96
BB13_09,25,15(25),S18(BB13_09),0.006833333,102
BB13_09,25,15(25),S18(BB13_09),0.006666667,114
BB13_09,28,18(28),S18(BB13_09),0.009666667,0
BB13_09,28,18(28),S18(BB13_09),0.010166667,6
BB13_09,28,18(28),S18(BB13_09),0.015166667,20
BB13_09,28,18(28),S18(BB13_09),0.02525,24
BB13_09,28,18(28),S18(BB13_09),0.039416667,30
BB13_09,28,18(28),S18(BB13_09),0.085583333,44
BB13_09,28,18(28),S18(BB13_09),0.0835,49
BB13_09,28,18(28),S18(BB13_09),0.123333333,55
BB13_09,28,18(28),S18(BB13_09),0.1894,68
BB13_09,28,18(28),S18(BB13_09),0.20165,74
BB13_09,28,18(28),S18(BB13_09),0.2053,79
BB13_09,28,18(28),S18(BB13_09),0.23325,91
BB13_09,28,18(28),S18(BB13_09),0.25085,97
BB13_09,28,18(28),S18(BB13_09),0.2483,102
BB13_09,28,18(28),S18(BB13_09),0.25805,114
BB13_09,12,21(12),S18(BB13_09),0.0035,0
BB13_09,12,21(12),S18(BB13_09),0.083,13
BB13_09,12,21(12),S18(BB13_09),0.175833333,18
BB13_09,12,21(12),S18(BB13_09),0.251666667,24
BB13_09,12,21(12),S18(BB13_09),0.3455,37
BB13_09,12,21(12),S18(BB13_09),0.416333333,42
BB13_09,12,21(12),S18(BB13_09),0.382,48
BB13_09,12,21(12),S18(BB13_09),0.386666667,61
BB13_09,12,21(12),S18(BB13_09),0.355,66
BB13_09,12,21(12),S18(BB13_09),0.358833333,72
BB13_09,12,21(12),S18(BB13_09),0.355666667,85
BB13_09,12,21(12),S18(BB13_09),0.340166667,90
BB13_09,12,21(12),S18(BB13_09),0.365,96
BB13_09,12,21(12),S18(BB13_09),0.332666667,108
BB13_09,12,21(12),S18(BB13_09),0.313333333,114
BB13_09,15,25(15),S18(BB13_09),0.0123,0
BB13_09,15,25(15),S18(BB13_09),0.008033333,6
BB13_09,15,25(15),S18(BB13_09),0.006233333,24
BB13_09,15,25(15),S18(BB13_09),0.0082,31
BB13_09,15,25(15),S18(BB13_09),0.0082,45
BB13_09,15,25(15),S18(BB13_09),0.009,49
BB13_09,15,25(15),S18(BB13_09),0.011766667,55
BB13_09,15,25(15),S18(BB13_09),0.011966667,68
BB13_09,15,25(15),S18(BB13_09),0.015933333,73
BB13_09,15,25(15),S18(BB13_09),0.012333333,79
BB13_09,15,25(15),S18(BB13_09),0.023333333,92
BB13_09,15,25(15),S18(BB13_09),0.026333333,98
BB13_09,15,25(15),S18(BB13_09),0.0285,104
BB13_09,15,25(15),S18(BB13_09),0.029166667,117
BB13_09,12,28(12),S18(BB13_09),0.007,0
BB13_09,12,28(12),S18(BB13_09),0.0055,18
BB13_09,12,28(12),S18(BB13_09),0.0085,24
BB13_09,12,28(12),S18(BB13_09),0.008333333,30
BB13_09,12,28(12),S18(BB13_09),0.004833333,42
BB13_09,12,28(12),S18(BB13_09),0.005166667,48
BB13_09,12,28(12),S18(BB13_09),0.004833333,54
BB13_09,12,28(12),S18(BB13_09),0.0025,71
BB13_09,12,28(12),S18(BB13_09),0.002666667,77
BB13_09,12,28(12),S18(BB13_09),0.002833333,89
BB13_09,12,28(12),S18(BB13_09),0.001333333,95
BB13_09,12,28(12),S18(BB13_09),0.001333333,101
BB13_09,12,28(12),S18(BB13_09),0.002333333,114
BB13_09,12,28(12),S18(BB13_09),0.002333333,120
BB13_09,18,28(18),S18(BB13_09),0.017833333,0
BB13_09,18,28(18),S18(BB13_09),0.0165,6
BB13_09,18,28(18),S18(BB13_09),0.010333333,18
