species,od,temp(G),time point
S18,0.0055,12,0
S18,0.011,12,4
S18,0.0125,12,8
S18,0.0133,12,20
S18,0.015166667,12,24
S18,0.0252,12,28
S18,0.042366667,12,32
S18,0.114966667,12,44
S18,0.117166667,12,48
S18,0.156166667,12,52
S18,0.158,12,56
S18,0.190166667,12,68
S18,0.1847,12,72
S18,0.1858,12,76
S18,0.1892,12,80
S18,0.2105,12,92
S18,0.193,12,96
S18,0.188,12,100
S18,0.1918,12,104
S18,0.192533333,12,116
S18,0.185066667,12,120
S18,0.0003,15,0
S18,0.0083,15,4
S18,0.009366667,15,8
S18,0.0349,15,20
S18,0.0525,15,24
S18,0.0736,15,28
S18,0.0952,15,32
S18,0.167,15,44
S18,0.1604,15,48
S18,0.16005,15,52
S18,0.16735,15,56
S18,0.21685,15,68
S18,0.1991,15,72
S18,0.19235,15,76
S18,0.18835,15,80
S18,0.1967,15,92
S18,0.190533333,15,96
S18,0.189033333,15,100
S18,0.182633333,15,104
S18,0.1898,15,116
S18,0.1852,15,120
S18,0.0109,18,0
S18,0.0148,18,4
S18,0.01275,18,8
S18,0.092833333,18,20
S18,0.1377,18,24
S18,0.1575,18,28
S18,0.188833333,18,32
S18,0.2647,18,44
S18,0.266,18,48
S18,0.2664,18,52
S18,0.2608,18,56
S18,0.2611,18,68
S18,0.249,18,72
S18,0.2328,18,76
S18,0.2269,18,80
S18,0.234,18,92
S18,0.2272,18,96
S18,0.22152,18,100
S18,0.215,18,104
S18,0.224,18,116
S18,0.225,18,120
S18,0.0036,21,0
S18,0.001633333,21,4
S18,0.008933333,21,8
S18,0.1197,21,20
S18,0.188033333,21,24
S18,0.2122,21,28
S18,0.234433333,21,32
S18,0.3062,21,44
S18,0.2287,21,48
S18,0.2185,21,52
S18,0.1997,21,56
S18,0.210666667,21,68
S18,0.2042,21,72
S18,0.19795,21,76
S18,0.1983,21,80
S18,0.2063,21,92
S18,0.1922,21,96
S18,0.198633333,21,100
S18,0.18,21,104
S18,0.1967,21,116
S18,0.1775,21,120
S18,0.0185,25,0
S18,0.022666667,25,4
S18,0.055966667,25,8
S18,0.1503,25,20
S18,0.187466667,25,24
S18,0.18765,25,28
S18,0.19385,25,32
S18,0.2258,25,44
S18,0.260533333,25,48
S18,0.2107,25,52
S18,0.2188,25,56
S18,0.24,25,68
S18,0.240566667,25,72
S18,0.212466667,25,76
S18,0.219333333,25,80
S18,0.24195,25,92
S18,0.226666667,25,96
S18,0.218033333,25,100
S18,0.2078,25,104
S18,0.225,25,116
S18,0.21775,25,120
S18,0.0072,28,0
S18,0.0255,28,4
S18,0.045133333,28,8
S18,0.1977,28,20
S18,0.237833333,28,24
S18,0.237666667,28,28
S18,0.2462,28,32
S18,0.299566667,28,44
S18,0.2654,28,48
S18,0.248766667,28,52
S18,0.242833333,28,56
S18,0.272433333,28,68
S18,0.2656,28,72
S18,0.256166667,28,76
S18,0.246166667,28,80
S18,0.2775,28,92
S18,0.2485,28,96
S18,0.234833333,28,100
S18,0.208833333,28,104
S18,0.2375,28,116
S18,0.201,28,120
S56,0.006,12,0
S56,0.0265,12,4
S56,0.0134,12,8
S56,0.009833333,12,20
S56,0.016833333,12,24
S56,0.028866667,12,28
S56,0.0527,12,32
S56,0.127133333,12,44
S56,0.125333333,12,48
S56,0.138133333,12,52
S56,0.1515,12,56
S56,0.198666667,12,68
S56,0.1937,12,72
S56,0.195133333,12,76
S56,0.199366667,12,80
S56,0.2285,12,92
S56,0.2119,12,96
S56,0.2052,12,100
S56,0.1966,12,104
S56,0.2082,12,116
S56,0.1959,12,120
S56,0.0073,15,0
S56,0.0138,15,4
S56,0.012866667,15,8
S56,0.043033333,15,20
S56,0.063966667,15,24
S56,0.084466667,15,28
S56,0.1185,15,32
S56,0.201933333,15,44
S56,0.188266667,15,48
S56,0.1893,15,52
S56,0.189366667,15,56
S56,0.2492,15,68
S56,0.228533333,15,72
S56,0.220533333,15,76
S56,0.2071,15,80
S56,0.228033333,15,92
S56,0.209533333,15,96
S56,0.2065,15,100
S56,0.199633333,15,104
S56,0.2078,15,116
S56,0.2048,15,120
S56,0.0007,18,0
S56,0.006966667,18,4
S56,0.0143,18,8
S56,0.1154,18,20
S56,0.1634,18,24
S56,0.1891,18,28
S56,0.222,18,32
S56,0.291,18,44
S56,0.2834,18,48
S56,0.283,18,52
S56,0.2822,18,56
S56,0.2955,18,68
S56,0.277,18,72
S56,0.2674,18,76
S56,0.2573,18,80
S56,0.267,18,92
S56,0.2376,18,96
S56,0.22552,18,100
S56,0.2166,18,104
S56,0.221,18,116
S56,0.235,18,120
S56,0.005,21,0
S56,0.009,21,4
S56,0.0146,21,8
S56,0.1222,21,20
S56,0.1706,21,24
S56,0.2104,21,28
S56,0.22935,21,32
S56,0.2946,21,44
S56,0.2117,21,48
S56,0.2085,21,52
S56,0.2055,21,56
S56,0.219,21,68
S56,0.2127,21,72
S56,0.20845,21,76
S56,0.2158,21,80
S56,0.2263,21,92
S56,0.2147,21,96
S56,0.222633333,21,100
S56,0.2073,21,104
S56,0.2072,21,116
S56,0.20125,21,120
S56,0.0145,25,0
S56,0.017166667,25,4
S56,0.083466667,25,8
S56,0.2048,25,20
S56,0.212466667,25,24
S56,0.217,25,28
S56,0.22065,25,32
S56,0.2608,25,44
S56,0.268366667,25,48
S56,0.239866667,25,52
S56,0.2328,25,56
S56,0.252,25,68
S56,0.2439,25,72
S56,0.216966667,25,76
S56,0.241333333,25,80
S56,0.260866667,25,92
S56,0.237166667,25,96
S56,0.240366667,25,100
S56,0.232466667,25,104
S56,0.2478,25,116
S56,0.2335,25,120
S56,0.0172,28,0
S56,0.0245,28,4
S56,0.043966667,28,8
S56,0.209366667,28,20
S56,0.268166667,28,24
S56,0.272333333,28,28
S56,0.293033333,28,32
S56,0.355066667,28,44
S56,0.3209,28,48
S56,0.298433333,28,52
S56,0.284,28,56
S56,0.3061,28,68
S56,0.2906,28,72
S56,0.2795,28,76
S56,0.277,28,80
S56,0.3002,28,92
S56,0.2666,28,96
S56,0.2604,28,100
S56,0.2198,28,104
S56,0.2562,28,116
S56,0.2314,28,120
BB19_16,0.0039,12,0
BB19_16,0.0155,12,4
BB19_16,0.02367,12,8
BB19_16,0.134166667,12,20
BB19_16,0.1485,12,24
BB19_16,0.158033333,12,28
BB19_16,0.191533333,12,32
BB19_16,0.264466667,12,44
BB19_16,0.268,12,48
BB19_16,0.2788,12,52
BB19_16,0.2895,12,56
BB19_16,0.2925,12,68
BB19_16,0.285366667,12,72
BB19_16,0.2833,12,76
BB19_16,0.2797,12,80
BB19_16,0.283166667,12,92
BB19_16,0.274,12,96
BB19_16,0.274333333,12,100
BB19_16,0.2708,12,104
BB19_16,0.2752,12,116
